title,type,country,release_year,rating,duration,genre,description
Running Shaadi,Movie,India,2017,M,115 min,Comedies,A Bihari migrant runs a successful service to help couples elope until the daughter of his former boss stirs the pot.
Ryan Hamilton: Happy Face,Movie,United States,2017,M,57 min,Stand-Up Comedy,Small-town import Ryan Hamilton charms New York with folksy comic observations on big-city life hot-air ballooning and going to Disney World alone.
Sad Hill Unearthed,Movie,Spain,2017,M,83 min,Documentaries,"An eclectic group of fans of 1966's ""The Good the Bad and the Ugly"" attempt to restore the cemetery set in Spain where the movie's climax was filmed."
Sandy Wexler,Movie,United States,2017,M,131 min,Comedies,When a hapless but dedicated talent manager signs his first client who actually has talent his career finally starts to take off.
Sarvopari Palakkaran,Movie,India,2017,M,133 min,Dramas,In the course of a human trafficking investigation a conservative cop crosses paths with an artist-activist in a clash of worldviews.
Sat Shri Akaal England,Movie,India,2017,M,127 min,Comedies,After several failed attempts to obtain a visa a man desperate to escape Punjab pays a British woman to marry him so he can move to England.
Secret Superstar,Movie,India,2017,M,150 min,Dramas,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.
See You in Time,TV Show,,2017,M,1 Season,International TV Shows,A series of mysterious text messages from the future sends ripples through the lives of a delivery woman and an accomplished cyclist.
Seven Souls in the Skull Castle: Season Bird,Movie,,2017,M,182 min,Action & Adventure,Japan 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Bird” version of the dynamic show performed in a 360º theater.
Seven Souls in the Skull Castle: Season Flower,Movie,Japan,2017,M,181 min,Action & Adventure,Japan 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Flower” version of the bold show performed in a 360º theater.
Seven Souls in the Skull Castle: Season Moon Jogen,Movie,,2017,M,204 min,Action & Adventure,Japan 1590. Wandering samurai band together to take on the lord of Skull Castle in the “Moon Jogen” version of the show performed in a 360º theater.
Seven Souls in the Skull Castle: Season Wind,Movie,,2017,M,185 min,Action & Adventure,Japan 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Wind” version of the dynamic show performed in a 360º theater.
Sherlock,TV Show,United Kingdom,2017,M,4 Seasons,British TV Shows,In this updated take on Sir Arthur Conan Doyle's beloved mystery tales the eccentric sleuth prowls the streets of modern London in search of clues.
Shuddhi,Movie,India,2017,M,115 min,Dramas,An American woman on a revenge mission travels to India and befriends two journalists seeking justice for violent crimes against women.
Somewhere Between,TV Show,United States,2017,M,1 Season,Crime TV Shows,A local news producer is given one chance to relive a deadly week and stop a serial killer. If she fails she'll lose her daughter forever.
Sons of the Caliphate,TV Show,Nigeria,2017,M,2 Seasons,International TV Shows,Three wealthy power-hungry men tussle for sovereignty amid corrupt politics passionate desires and family obligations.
Spyder,Movie,India,2017,M,140 min,Action & Adventure,When an Intelligence Bureau officer’s phone-tapping day job leads him to a serial killer he must track down and thwart the murderer’s next steps.
Strong Girl Bong-soon,TV Show,South Korea,2017,M,1 Season,Crime TV Shows,Born with supernatural strength Bong-soon fights evil and procures justice while getting tangled in a love triangle with her CEO boss and cop crush.
Surga Yang Tak Dirindukan 2,Movie,Indonesia,2017,M,119 min,Dramas,In this sequel to the award-winning 2015 film Pras Arini and Meirose face new challenges that could change the dynamic of their unique love triangle.
Teach Us All,Movie,United States,2017,M,81 min,Documentaries,It's been decades since Brown v. Board of Education yet American schools remain largely segregated. Some leaders are working to change that.
Terrace House: Aloha State,TV Show,United States,2017,M,4 Seasons,International TV Shows,The beautiful island of Oahu is host to a new batch of six strangers who share a single roof multiple conflicts and no script in this reality series.
The Bachelors,Movie,United States,2017,M,100 min,Dramas,After the death of his wife a teacher and his son move to a new city where emotional connections with two women help them begin to heal.
The Bride of Habaek,TV Show,South Korea,2017,M,1 Season,International TV Shows,When a quest for divine stones in the human world goes awry the water god Habaek seeks help from a psychiatrist predestined to serve him.
The Bridge,Movie,Nigeria,2017,M,119 min,Dramas,A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.
The Bros,Movie,South Korea,2017,M,102 min,Comedies,Reunited in their hometown for their father's funeral two self-interested brothers meet a peculiar woman who shares a huge secret about their family.
The Cakemaker,Movie,Israel,2017,M,109 min,Dramas,When a German baker travels to Jerusalem in search of his dead male lover’s family his growing involvement with them may expose his truth.
The Chefs' Line,TV Show,Australia,2017,M,1 Season,International TV Shows,Home cooks face off against trained chefs to see if passion can beat profession in the kitchen in this reality competition show.
The Climb,Movie,France,2017,M,105 min,Action & Adventure,A young Senegalese-French man from humble roots sets out to climb Mount Everest to impress the woman he loves – and slowly becomes a media sensation.
The Desert Bride,Movie,Argentina,2017,M,78 min,Dramas,While traveling across Argentina to a new job a longtime maid encounters a salesman who opens her eyes to life's beauty and possibilities.
The Detained,Movie,United States,2017,M,85 min,Horror Movies,Five high school students serving Saturday detention in a former corrections facility must find a way to outsmart an unseen menace out to kill them.
The Fosters,TV Show,United States,2017,M,5 Seasons,TV Dramas,This offbeat drama charts the ups and downs of an interracial lesbian couple and their multiethnic brood of biological adopted and foster children.
The Giant,Movie,Spain,2017,M,115 min,Dramas,In 1843 crippled Martin returns from war to his Basque hometown and finds his brother has grown into a giant which they turn into a circus act.
The Healer,Movie,Spain,2017,M,108 min,Children & Family Movies,A handyman who has hit rock bottom agrees to live with his distant uncle who insists that his ability to fix things extends beyond the repair shop.
The Indian Detective,TV Show,Canada,2017,M,1 Season,Crime TV Shows,In this crime dramedy a suspended Canadian cop visits his father in Mumbai and assists in investigating a huge criminal operation with links to home.
The Kirlian Frequency,TV Show,Argentina,2017,M,1 Season,International TV Shows,In the midnight hour a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian a lost city somewhere in Argentina.
The Many Faces of Ito,TV Show,Japan,2017,M,1 Season,International TV Shows,A jaded rom-com screenwriter in her 30s mines four love-sick women for their stories under the guise of providing them with romantic advice.
The Milk System,Movie,Germany,2017,M,91 min,Documentaries,Farmers scientists and industry insiders delve into the hidden costs and consequences of global dairy production and offer up possible solutions.
The Night Shift,TV Show,United States,2017,M,4 Seasons,TV Dramas,After returning from a dangerous tour of duty an Army doctor finds that working the night shift at a San Antonio hospital can be treacherous too.
The Nineties,TV Show,United States,2017,M,1 Season,Docuseries,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.
The Outcasts,Movie,United States,2017,M,94 min,Comedies,After failing to strike a truce with their school's queen bee two misfit best friends lead a nerd uprising that turns social hierarchy on its head.
The Perfect Match,TV Show,,2017,M,1 Season,International TV Shows,A night market vendor clashes with a lofty celebrity chef in a culinary challenge fueling the first sparks of a romance.
The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,Movie,Canada,2017,M,96 min,Documentaries,This colorful documentary explores the origins and impact of He-Man a character whose power stretched well beyond a toy line and children's TV show.
The Redeemed and the Dominant: Fittest on Earth,Movie,United States,2017,M,120 min,Documentaries,Questions about endurance doping and overall toughness surround a group of elite athletes as they compete fiercely at the Reebok Crossfit Games.
The Road to Calvary,TV Show,Russia,2017,M,1 Season,International TV Shows,Swept up in political unrest during World War I two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them.
The Saint,Movie,United States,2017,M,92 min,Action & Adventure,Master thief Simon Templar – also known as the Saint – is hired by a wealthy banker to find his kidnapped daughter but not all is as it seems.
The Story of God with Morgan Freeman,TV Show,United States,2017,M,2 Seasons,Docuseries,Host Morgan Freeman explores religion's role in human history how our beliefs connect us and possible answers to life's million-dollar questions.
The Story of Us with Morgan Freeman,TV Show,United States,2017,M,1 Season,Docuseries,Explore the forces of love belief power war peace rebellion and freedom in this series about the ties that bind – and destroy – humanity.
The Student,Movie,United States,2017,M,90 min,Thrillers,When a law professor fails an ambitious student for academic dishonesty he goes to terrifying lengths to seek revenge for more than just his grade.
The Wedding Party 2: Destination Dubai,Movie,Nigeria,2017,M,98 min,Comedies,"In this sequel to the 2016 hit ""The Wedding Party "" a couple's date night ends in an accidental proposal sparking a series of chaotic family events."
The Wishing Tree,Movie,India,2017,M,117 min,Children & Family Movies,Five children living on the edge of a forest band together to save a magical wishing tree from destruction and find their own paths to happiness.
The Wrong Babysitter,Movie,Canada,2017,M,89 min,Thrillers,A widow searches for her missing teenage daughter not knowing that her seemingly helpful neighbor is hiding a terrible secret.
Theeram,Movie,India,2017,M,104 min,Dramas,An auto rickshaw driver harbors a deep affection for a young woman but his troubled past threatens to stand between them.
This Evening,TV Show,Egypt,2017,M,1 Season,International TV Shows,The lives of a wealthy couple hiding their marital problems intersect with a group of hackers and the young women they exploit.
Thug Life,Movie,India,2017,M,133 min,Comedies,A get-rich-quick scheme goes awry when a group of friends stumbles onto a dangerous conspiracy and wind up getting mistaken for the bad guys.
Tientsin Mystic,TV Show,China,2017,M,1 Season,Crime TV Shows,In an otherworldly river town a policeman follows the trail of a sinister force to save his community from deadly spells.
Time Trap,Movie,United States,2017,M,88 min,Action & Adventure,While searching for their missing archaeology professor a group of students discovers a cave where time passes differently than it does on the surface.
Toilet: Ek Prem Katha,Movie,India,2017,M,145 min,Comedies,On her first day of marriage a woman leaves her husband upon learning his home lacks a toilet sparking a quixotic quest to acquire modern sanitation.
Tokyo Idols,Movie,United Kingdom,2017,M,89 min,Documentaries,This documentary follows J-Pop idol Rio and her predominantly middle-aged fans and their seemingly transactional interactions.
Tomorrow with You,TV Show,South Korea,2017,M,1 Season,International TV Shows,The head of a real estate firm with the ability to travel through time by taking the subway marries a photographer to try and change his future.
Trevor Noah: Afraid of the Dark,Movie,United States,2017,M,67 min,Stand-Up Comedy,"The ""Daily Show"" host ponders the perils of naming countries how traffic lights turn New Yorkers invincible and why you shouldn't drink in Scotland."
TURN: Washington's Spies,TV Show,United States,2017,M,4 Seasons,TV Dramas,Set in 1778 this period drama recounts the story of Abe Woodhull an American cabbage farmer obliged to begin spying on the British enemy.
Under an Arctic Sky,Movie,United States,2017,M,40 min,Action & Adventure,Six fearless surfers travel to the north coast of Iceland to ride waves unlike anything they've ever experienced captured with high-tech cameras.
Unexpectedly Yours,Movie,Philippines,2017,M,121 min,Comedies,A pair of former batchmates cross paths 30 years later when they wind up as new neighbors and their reconnection soon blossoms into something more.
Union Leader,Movie,Canada,2017,M,105 min,Dramas,Toxic conditions and a corrupt union leader prompt a chemical plant worker and earnest family man to fight for justice for his fellow laborers.
Valor,TV Show,United States,2017,M,1 Season,TV Action & Adventure,Following an unsuccessful mission in Somalia the two surviving members of a U.S. Army helicopter crew are embroiled in an unseemly conspiracy.
Verses of Love 2,Movie,Indonesia,2017,M,127 min,Dramas,Now a lecturer in Edinburgh Fahri tries to begin a new chapter as the love of his life Aisha volunteers in the Gaza Strip. Have they moved on?
Viswasapoorvam Mansoor,Movie,India,2017,M,125 min,Dramas,When a mother and her daughter arrive to stay in his home in Kerala a young Muslim man becomes torn between love faith and clashing political views.
Wake Up,TV Show,,2017,M,2 Seasons,International TV Shows,After taking the blame for a patient death an anesthesiologist battling psychiatric trauma fights to stay afloat in the corrupt hospital system.
Walk Away from Love,Movie,United States,2017,M,81 min,Dramas,Heartbroken from her last relationship an attorney is wary of falling in love again. But crossing paths with an ex upends her plans to finally move on.
What a Wonderful Family!,Movie,China,2017,M,102 min,Comedies,In a large family living under one roof a storm brews when the matriarch requests a divorce from her husband on their 50th anniversary.
What Makes a Psychopath?,Movie,United Kingdom,2017,M,52 min,Documentaries,This wide-ranging documentary examines the behaviors considered in a diagnosis of psychopathy and includes nonviolent successful figures in history.
What She Put on the Table,TV Show,Taiwan,2017,M,1 Season,International TV Shows,Based on the life of TV chef Fu Pei-mei this drama follows two women – one rich the other poor – who fortuitously cross paths in 1950s Taiwan.
Winnie,Movie,France,2017,M,85 min,Documentaries,Winnie Mandela speaks about her extraordinary and controversial career from her early life to her marriage to her ongoing efforts to end apartheid.
Wormwood,TV Show,United States,2017,M,1 Season,Crime TV Shows,In this genre-bending tale Errol Morris explores the mysterious death of a U.S. scientist entangled in a secret Cold War program known as MK-Ultra.
Young & Hungry,TV Show,United States,2017,M,5 Seasons,TV Comedies,A female food blogger is hired as a personal chef by a young tech tycoon and faces a new menu of challenges both inside and outside of the kitchen.
February 9,TV Show,,2018,M,1 Season,International TV Shows,As a psychology professor faces Alzheimer's his daughter and her three close female friends experience romance marriage heartbreak and tragedy.
#Roxy,Movie,Canada,2018,M,105 min,Comedies,A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.
100 Days My Prince,TV Show,South Korea,2018,M,1 Season,International TV Shows,Upon losing his memory a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.
2036 Origin Unknown,Movie,United Kingdom,2018,M,95 min,Sci-Fi & Fantasy,Working with an artificial intelligence to investigate the failure of a deadly Mars landing a mission controller makes an astonishing discovery.
21 Sarfarosh: Saragarhi 1897,TV Show,India,2018,M,1 Season,International TV Shows,In one of history's greatest last stands a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10 000 Afghans.
5 Star Christmas,Movie,Italy,2018,M,96 min,Comedies,When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week things go topsy-turvy.
72 Dangerous Animals: Asia,TV Show,Australia,2018,M,1 Season,Docuseries,From fangs to claws to venomous stings they all wield deadly weapons. But which creature will be crowned the fiercest of all?
A Man For The Week End,Movie,,2018,M,95 min,Comedies,A career-focused woman convinces a colleague to pose as her boyfriend for a family visit — and must face a meddling mom and some unexpected feelings.
A.I.C.O.,TV Show,Japan,2018,M,1 Season,Anime,Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.
Aapla Manus,Movie,India,2018,M,133 min,Dramas,When a man falls from his balcony an investigator questions the victim’s family determined to uncover a darker truth behind the alleged accident.
Accidentally in Love,TV Show,China,2018,M,1 Season,International TV Shows,Rejecting the demands of her wealthy family a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school.
Adam Ruins Everything,TV Show,United States,2018,M,1 Season,TV Comedies,Education can be fun – and funny. Comedian Adam Conover bursts misconceptions deconstructs topics and leaves with positive takeaways.
Adhugo,Movie,India,2018,M,105 min,Comedies,A fast-footed piglet named Bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.
American Experience: The Island Murder,Movie,United States,2018,M,53 min,Documentaries,In 1931 a young Navy wife tore apart Hawaii on racial lines after claiming she was raped by a gang of nonwhite islanders.
Ancient Aliens,TV Show,United States,2018,M,1 Season,Docuseries,Were ancient humans really behind some of the most important technological advances in civilized history or did they have extraterrestrial help?
And Breathe Normally,Movie,Iceland,2018,M,102 min,Dramas,An Icelandic single mom struggling with poverty and a Guinea-Bissauan asylum seeker facing deportation find their lives intertwined in unexpected ways.
Andhadhun,Movie,India,2018,M,137 min,Comedies,A visually impaired pianist’s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star.
Ani... Dr. Kashinath Ghanekar,Movie,India,2018,M,157 min,Dramas,From his singular career to his personal demons this biopic chronicles the short yet prolific life of the Marathi dentist-turned-superstar.
Anjaan: Rural Myths,TV Show,India,2018,M,1 Season,International TV Shows,Spine-chilling stories of malevolent spirits unfold in villages jungles and haunted buildings across India.
Anjaan: Special Crimes Unit,TV Show,India,2018,M,1 Season,International TV Shows,The cases are supernatural; the police officers human. Together cops Aditi and Vikrant must solve mysteries from the realm of the paranormal.
Are We Done Yet?,Movie,Egypt,2018,M,87 min,Comedies,When authorities arrest his young son a taxi driver must convince the courts and rabid media that he's not the criminal they seek.
Aruna & Her Palate,Movie,Indonesia,2018,M,106 min,Dramas,An epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route with three friends along for the ride.
Asees,Movie,India,2018,M,123 min,Dramas,When a dispute breaks out between five siblings over their mother’s property one devoted son will go to any lengths to protect her land.
Ashes of Love,TV Show,China,2018,M,1 Season,International TV Shows,Hidden away by her mother the Floral Goddess the naïve Jinmi is drawn to Xufeng the Heavenly Emperor's son. Yet forces conspire against them.
At First Light,Movie,Canada,2018,M,91 min,Dramas,After mysterious lights imbue her with extraordinary powers a teenager goes on the run from authorities with the friend who harbors a crush on her.
Azali,Movie,Ghana,2018,M,89 min,Dramas,Sent away to evade an arranged marriage a 14-year-old begins a harrowing journey of sex work and poverty in the slums of Accra.
Baby Mamas,Movie,South Africa,2018,M,98 min,Comedies,From surprise news to relationship blues four coworkers in different stages of motherhood unite to support each other in their struggles with men.
Bangkok Love Stories: Hey You!,TV Show,,2018,M,1 Season,International TV Shows,A loving couple become rivals when Belle opens a fusion bistro next to her ex-boyfriend Kram’s traditional restaurant in Bangkok’s chic Ari district.
Bangkok Love Stories: Innocence,TV Show,Thailand,2018,M,1 Season,International TV Shows,From a teenage parkour enthusiast to a bawdy restaurateur an eclectic group of characters find romance in Bangkok's glittering Silom district.
Behind the Curve,Movie,United States,2018,M,96 min,Documentaries,Meet the growing worldwide community of theorists who defend the belief that the Earth is flat while living in a society who vehemently rejects it.
Betty White: First Lady of Television,Movie,United States,2018,M,56 min,Documentaries,This documentary on actress and television producer Betty White traces her decades-long career as a woman breaking new ground in entertainment.
Beyond the Clouds,Movie,India,2018,M,120 min,Dramas,A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself.
Bhavesh Joshi Superhero,Movie,India,2018,M,150 min,Dramas,When his best friend is killed for uncovering political corruption an idealistic young man decides to become a masked fighter for justice.
Bill Nye Saves the World,TV Show,United States,2018,M,3 Seasons,Stand-Up Comedy,Emmy-winning host Bill Nye brings experts and famous guests to his lab for a talk show exploring scientific issues that touch our lives.
Black Rose,Movie,Nigeria,2018,M,121 min,Dramas,Struggling in poverty with her single mother and siblings a principled young woman meets the man of her dreams but soon finds he's keeping secrets.
BNK48: Girls Don't Cry,Movie,Thailand,2018,M,108 min,Documentaries,Members of the Thai idol girl group BNK48 open up about their experiences beyond the spotlight their training and the nature of fame.
Bobby Robson: More Than a Manager,Movie,United Kingdom,2018,M,99 min,Documentaries,Explore the life and times of legendary soccer manager Bobby Robson whose keen mind for the game was matched only by his devotion to his teams.
Border Security: America's Front Line,TV Show,Canada,2018,M,1 Season,Crime TV Shows,This reality series chronicles the behind-the-scenes action as U.S. Customs and Border Protection agents safeguard the nation's crossings and ports.
Bucket List,Movie,India,2018,M,129 min,Dramas,After getting a heart transplant a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor.
Bulbul Can Sing,Movie,India,2018,M,95 min,Dramas,Exploring their sexual identities in the face of the patriarchal rules of their Assamese village a teenager and her two friends are rocked by tragedy.
Camarón Revolution,TV Show,,2018,M,1 Season,Docuseries,The extraordinary life and career of flamenco legend Camarón de la Isla is covered in this sweeping biography series.
Camarón: The Film,Movie,Spain,2018,M,105 min,Documentaries,This documentary looks back on the life of legendary flamenco singer Camarón who went from humble roots to rock star status to a tragic early death.
Candy Jar,Movie,United States,2018,M,93 min,Children & Family Movies,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.
Champions,TV Show,United States,2018,M,1 Season,TV Comedies,Years after getting his girlfriend pregnant washed-up jock Vince meets his eccentric son Michael and learns about fatherhood one show tune at a time.
Civilizations,TV Show,United Kingdom,2018,M,1 Season,British TV Shows,"Expanding Kenneth Clark's 1969 ""Civilisation"" series for a new generation this reboot explores the art of cultures around the world throughout time."
Colony,TV Show,United States,2018,M,3 Seasons,TV Action & Adventure,When LA is invaded by outside forces and becomes a walled-in settlement a former FBI agent and his wife risk everything to find their lost son.
Come Sunday,Movie,United States,2018,M,105 min,Dramas,A crisis of faith sets renowned fundamentalist preacher Carlton Pearson on a new spiritual path that jeopardizes everything he holds dear.
Comedy High School,TV Show,,2018,M,1 Season,International TV Shows,Featuring goofy sketches and celebrity appearances this offbeat stage show follows an assortment of oddball characters at an eccentric high school.
Conan Without Borders,TV Show,United States,2018,M,1 Season,Docuseries,Late-night talk show host Conan O'Brien hits the road in this special that brings him and his sense of humor to far-flung destinations.
Counterfeiting in Suburbia,Movie,Canada,2018,M,88 min,Dramas,Two teenagers print counterfeit money in their high school art room but things go terribly wrong when their debt-ridden teacher becomes suspicious.
Crossroads: One Two Jaga,Movie,Malaysia,2018,M,81 min,Dramas,In Kuala Lumpur an abused domestic worker tries to escape to Indonesia while an idealistic cop insists on fighting corruption – at a heavy price.
Dancing Queen,TV Show,,2018,M,1 Season,Reality TV,Snatching trophies. Getting gorgeous. Turning it up. Alyssa Edwards rules the dance studio by day – and the drag world by night.
Deadly Scholars,Movie,United States,2018,M,86 min,Dramas,After a series of strange deaths a high school reporter tries to pin down the killer who's targeting students eligible for a prestigious scholarship.
Demon's Path,TV Show,,2018,M,1 Season,Crime TV Shows,To catch three criminal masterminds a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death.
Di Renjie zhi Sidatianwang,Movie,China,2018,M,132 min,Action & Adventure,Framed by an empress who plans to steal a dragon-taming mace imperial magistrate Dee Renjie soon uncovers a greater plot that threatens the kingdom.
Diamonds in the Sky,Movie,,2018,M,113 min,Dramas,Three families navigate uncertainty and struggle when cancer affects their lives and presents emotional challenges that test their bonds.
Dilan 1990,Movie,Indonesia,2018,M,109 min,Dramas,At a Bandung high school charming and rebellious Dilan vies for the affections of shy new student Milea.
DRAGON PILOT: Hisone & Masotan,TV Show,Japan,2018,M,1 Season,Anime,Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.
Earth's Natural Wonders: Life at the Extremes,TV Show,,2018,M,1 Season,British TV Shows,From the Arctic to the Outback humans battle the elements and use their ingenuity to survive in the most extreme environments in the world.
Echcharikkai,Movie,India,2018,M,127 min,International Movies,After kidnapping a millionaire’s daughter two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down.
Ee Nagaraniki Emaindi,Movie,India,2018,M,133 min,Comedies,In Goa and in desperate need of cash four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.
Eeda,Movie,India,2018,M,153 min,Dramas,Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.
El Pepe a Supreme Life,Movie,Argentina,2018,M,73 min,Documentaries,"In this intimate documentary former Uruguayan President José ""Pepe"" Mujica talks about lessons he learned while in prison his ideals and the future."
El testigo,Movie,Colombia,2018,M,73 min,Documentaries,Colombian photojournalist Jesús Abad Colorado shares the stories behind a series of civil war photographs he captured throughout the '80s and '90s.
El-Khawaga's Dilemma,Movie,Egypt,2018,M,94 min,Action & Adventure,After a car crash sparks fly for a financially struggling man and the daughter of a business tycoon unraveling dark secrets and loose ends.
Empire Games,TV Show,Czech Republic,2018,M,1 Season,Docuseries,Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.
Ethirmarai,Movie,India,2018,M,91 min,International Movies,While investigating a brutal string of deaths a detective begins to suspect that mind control may have played a part in the murders.
Eugenie Nights,TV Show,Egypt,2018,M,1 Season,International TV Shows,In 1940s Port Said Kariman finds comfort and solace in the arms of an unhappily married man who also happens to be her abusive husband's brother.
Everything Sucks!,TV Show,United States,2018,M,1 Season,TV Comedies,It's 1996 in a town called Boring where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era.
Fifty: The Series,TV Show,Nigeria,2018,M,2 Seasons,International TV Shows,Juggling careers and families four ambitious women faced with unique crises weigh the consequences of their choices as they approach turning 50.
First Impression,Movie,United States,2018,M,96 min,Comedies,Unaware they’ve matched online a struggling writer embellishes his lifestyle to impress a successful exec with whom he sparks an unexpected romance.
First Kiss,Movie,Netherlands,2018,M,90 min,Dramas,A starry-eyed employee of a hot cosmetics company hires a dreamy photographer who is secretly indebted to a major rival – her sketchy aunt.
For the Broken Hearted,Movie,Philippines,2018,M,93 min,Dramas,In three interwoven stories love ends up in limbo as romantic partners navigate bliss loss failures and feelings while trying to make happiness last.
Funan,Movie,France,2018,M,87 min,Dramas,Separated from their young son during the brutal Khmer Rouge revolution a couple must find ways to endure while searching for their child.
Gabru: Hip Hop Revolution,TV Show,India,2018,M,1 Season,International TV Shows,Three young aspiring Indian rappers make their way in a cutthroat music industry dreaming of fame stardom and ultimate hip-hop domination .
Gad Elmaleh: American Dream,Movie,United States,2018,M,58 min,Stand-Up Comedy,In his first English-language special comedian Gad Elmaleh gleefully digs into America's food obsessions dating culture slang and more.
Genius,Movie,India,2018,M,96 min,Dramas,Extreme pressure from his father to excel at school during childhood has dangerous psychological effects on a brilliant but suicidal man’s adult life.
GODZILLA City on the Edge of Battle,Movie,Japan,2018,M,101 min,Action & Adventure,On Earth Haruo and his companions make contact with the indigenous Houtua tribe. To defeat Godzilla they set out for the old Mechagodzilla facility.
​Goli Soda 2,Movie,India,2018,M,128 min,Action & Adventure,A taxi driver a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians evil dons and caste barriers.
Good Game: The Beginning,Movie,Turkey,2018,M,115 min,Dramas,New high school grad and avid gamer Cenk is recruited to an intense esports team that trains for a tournament with a life-changing prize.
Growing up and other problems,Movie,Spain,2018,M,91 min,Comedies,A 30-something woman without a steady partner or income samples stability when her pregnant best friend asks her to be the godmother of her child.
Gunshot,Movie,,2018,M,96 min,Dramas,After a clash at a protest ends in bloodshed a forensic doctor and a journalist embark on a search for the elusive truth.
Hajwala 2: Mysterious Mission,Movie,United Arab Emirates,2018,M,116 min,Action & Adventure,In this sequel a group of expert drivers skilled in drifting and high-speed racing is recruited to perform obscure tasks for a shadowy gang.
Halkaa,Movie,India,2018,M,111 min,Comedies,Up against a corrupt government official and crushing poverty a young boy in the Delhi slums attempts to raise funds to build himself his own toilet.
Harith Iskander: I Told You So,Movie,United States,2018,M,62 min,Stand-Up Comedy,Malaysian stand-up comedy icon Harith Iskander takes the stage in Kuala Lumpur to talk about Singapore a past girlfriend Rick Astley and more.
Her Only Choice,Movie,United States,2018,M,87 min,Dramas,A woman must decide if she’s willing to end her pregnancy to save her own life after being diagnosed with breast cancer.
Here to Heart,TV Show,China,2018,M,1 Season,International TV Shows,Wen Nuan signs on to work as the executive assistant to ex Zhan Nanxian at his tech firm. Helping him at work just may lead her back into his heart.
Hidden Worlds,TV Show,Egypt,2018,M,1 Season,Crime TV Shows,While investigating an actress’s supposed suicide and her connection to the mafia a veteran journalist discovers that corruption runs deep.
Hope Aur Hum,Movie,India,2018,M,95 min,Children & Family Movies,A multigenerational household navigates daily life evolving relationships and clashes between old and new mindsets in this light family drama.
How to Be Really Bad,Movie,Germany,2018,M,100 min,Comedies,The devil's sassy (and bored) daughter makes a deal with her dad: If she can turn a good person evil she gets to ditch hell and stay on Earth.
Hymn of Death,TV Show,South Korea,2018,M,1 Season,International TV Shows,During the Japanese colonial period married playwright Kim U-jin falls in love with soprano Yun Sim-deok one of Korea’s notable New Women.
Hyori's Bed & Breakfast,TV Show,,2018,M,2 Seasons,International TV Shows,K-pop diva Lee Hyo-ri and her husband open up their home on the beautiful Jeju Island to welcome travelers for free stays meals and late-night chats.
I Am Maris,Movie,United States,2018,M,54 min,Documentaries,Through her own words and art a young woman details the healing power of yoga in her struggle with anorexia and her journey to self-acceptance.
Iron Cowboy: The Story of the 50.50.50,Movie,United States,2018,M,77 min,Documentaries,A record-setting triathlete dares to complete 50 Ironman races – a 2.4-mile swim a 112-mile bike ride and a 26.2-mile run – in 50 days in 50 states.
Iron Ladies,TV Show,Taiwan,2018,M,1 Season,International TV Shows,Three 30-something women in high-level jobs at a beauty e-commerce firm seem to have it all – except when it comes to love and romantic chemistry.
James Acaster: Repertoire,TV Show,United Kingdom,2018,M,1 Season,British TV Shows,Offbeat comic James Acaster covers the strange the mundane and everything in between in this collection of four wide-ranging stand-up specials.
Jesus: Countdown to Calvary,Movie,Ireland,2018,M,53 min,Documentaries,Host Hugh Bonneville traces Jesus' last days to learn how the execution of an itinerant Jewish preacher had an immense impact on society.
