title,type,country,release_year,rating,duration,genre,description
Power Rangers Lost Galaxy,TV Show,United States,1999,G,1 Season,Kids' TV,Five teenagers transformed by the mystical powers of the Quasar Sabers into the Galaxy Power Rangers battle the evil Scorpius and Captain Mutiny.
Tarzan,Movie,United States,1999,G,89 min,Children & Family Movies,After being shipwrecked off the African coast a lone child grows up in the wild and is destined to become lord of the jungle.
Together For Eternity,Movie,India,1999,G,176 min,Dramas,A scheming matriarch plots to cut off her disabled stepson and his wife from the family fortune creating a division within the clan.
An American Tail: The Treasures of Manhattan Island,Movie,United States,2000,G,79 min,Children & Family Movies,When Fievel and friends go hunting for buried treasure beneath the ruins of an old subway tunnel they stumble onto something surprising.
Pokémon: Indigo League,TV Show,Japan,2000,G,1 Season,Anime,Explore the world of Pokémon with 10-year-old Ash Ketchum and his partner Pikachu as they aim for Ash's ultimate goal: becoming a Pokémon master.
Power Rangers Lightspeed Rescue,TV Show,France,2000,G,1 Season,Kids' TV,As demons rumble from their graves beneath Mariner Bay a government organization called Lightspeed recruits five civilians to defend the city.
Rugrats in Paris: The Movie,Movie,Germany,2000,G,79 min,Children & Family Movies,The Rugrats take to the big screen and visit Paris when Mr. Pickles gets summoned to fix a giant robot at the EuroReptarland theme park.
Balto 2: Wolf Quest,Movie,United States,2001,G,75 min,Children & Family Movies,Half-dog half-wolf Balto (voiced by Maurice LaMarche) and his wife proudly put their pups up for adoption to humans but when nobody takes daughter Aleu because she looks too much like a wolf she runs away to search for her place in the world.
Jimmy Neutron: Boy Genius,Movie,United States,2001,G,83 min,Children & Family Movies,When gooey green aliens kidnap all the adults in Retroville it's up to 11-year-old Jimmy Neutron to come up with a plan to rescue them.
Power Rangers Time Force,TV Show,United States,2001,G,1 Season,Kids' TV,The team launches a new campaign against evil in the year 3000 when the imprisoned criminal mastermind Ransik is freed by his daughter.
The Blue Planet: A Natural History of the Oceans,TV Show,United Kingdom,2001,G,1 Season,British TV Shows,David Attenborough narrates this definitive exploration of the marine world from the familiar to the unknown revealing the sea and its communities.
Tom and Jerry: The Magic Ring,Movie,,2001,G,60 min,Children & Family Movies,When a young wizard leaves Tom to guard his priceless magic ring Jerry gets the ring stuck on his head igniting a series of slapstick antics.
Power Rangers Wild Force,TV Show,United States,2002,G,1 Season,Kids' TV,Raised in the wilderness young Cole Evans leads the Wild Force Power Rangers as they summon their animal powers to battle the evil Master Org.
LeapFrog: Letter Factory,Movie,United States,2003,G,37 min,Children & Family Movies,In this entertaining installment of the wildly popular early-learning series Professor Quigley Leap Lily and Tad arrive at the magical Letter Factory where jumbles of sounds are miraculously shaped into letters.
Power Rangers Ninja Storm,TV Show,United States,2003,G,1 Season,Kids' TV,When the elite warriors from the Wind Ninja Academy are captured by the evil Lothor Shane Tori and Waldo become Wind Power Rangers to fight back.
Sonic X,TV Show,Japan,2003,G,2 Seasons,Anime,A mission gone awry transports Sonic the Hedgehog his friends Dr. Eggman and the Chaos Emeralds to another dimension: Earth.
Balto 3: Wings of Change,Movie,United States,2004,G,78 min,Children & Family Movies,A pilot challenges Balto's son Kodi and his sled team to see who can deliver the mail faster but the dogs race to the rescue when the plane vanishes.
Power Rangers Dino Thunder,TV Show,United States,2004,G,1 Season,Kids' TV,Dr. Tommy Oliver returns when his students discover the Dino Gems that morph them into the Dino Power Rangers enabling them to stop the evil Mesogog.
Spookley the Square Pumpkin,Movie,United States,2004,G,47 min,Children & Family Movies,When a storm terrorizes his patch a pumpkin cast out for his shape must step up to use his smarts to save the day – and to prove himself.
The Polar Express,Movie,United States,2004,G,100 min,Children & Family Movies,In this warm-hearted tale a young boy's faith in the holiday spirit is revived after he makes his way by train to the North Pole on Christmas Eve.
Trotro,TV Show,France,2004,G,1 Season,Kids' TV,Trotro the donkey may be opinionated but he's as sweet as can be in this animated series that's full of lessons for children.
Chicken Little,Movie,United States,2005,G,82 min,Children & Family Movies,No one believes Chicken Little when he tries to warn of an alien invasion – so it's up to him and his misfit friends to save the world!
Power Rangers S.P.D.,TV Show,United States,2005,G,1 Season,Kids' TV,When the Troobian Empire attacks Earth the B-Squad Power Rangers Space Patrol Delta morphs into action to squash the alien threat and save the world.
Tarzan 2,Movie,United States,2005,G,72 min,Children & Family Movies,How did the King of the Jungle ascend to the throne? Find out in this charming prequel to the hit animated movie that catches Tarzan as a young child.
What's New Scooby-Doo?,TV Show,United States,2005,G,3 Seasons,Kids' TV,Scooby-Doo and the gang enter the 21st century with this updated edition of the original series with more ghoulish mysteries to solve.
Yu-Gi-Oh!,TV Show,Japan,2005,G,1 Season,Anime,The lives of young Yugi Moto and his friends Joey Tristan and Téa are forever changed when a fantasy card game becomes their reality.
Iqbal,Movie,India,2006,G,127 min,Dramas,A boy with a hearing and speech impairment – and extraordinary athletic ability – chases his lifelong dream of playing cricket for India.
Power Rangers Mystic Force,TV Show,United States,2006,G,1 Season,Kids' TV,When the wicked Undead Army is unleashed sorceress Udonna empowers five teenagers – the Mystic Force Power Rangers – to save mankind.
Avatar: The Last Airbender,TV Show,United States,2007,G,3 Seasons,Classic & Cult TV,Siblings Katara and Sokka wake young Aang from a long hibernation and learn he's an Avatar whose air-bending powers can defeat the evil Fire Nation.
Bo on the Go!,TV Show,Canada,2007,G,1 Season,Kids' TV,Staying at home doesn't mean sitting still for energetic Bo and her little dragon friend Dezzy who embark on amazing adventures through movement.
Code Lyoko,TV Show,France,2007,G,4 Seasons,Kids' TV,After discovering a parallel universe hidden inside a supercomputer four students must stop a renegade virus from destroying the secret world.
Garfield Gets Real,Movie,United States,2007,G,78 min,Children & Family Movies,"After trying to live in the ""real world"" and concluding it isn't for him Garfield must return to his comic-strip home before getting trapped forever."
Power Rangers Operation Overdrive,TV Show,United States,2007,G,1 Season,Kids' TV,To keep powerful jewels from falling into the hands of two wicked brothers five young Power Rangers set out on a dangerous global adventure.
The Pixar Story,Movie,United States,2007,G,89 min,Documentaries,Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company.
A Very Special Love,Movie,Philippines,2008,G,107 min,International Movies,After landing a job working for her longtime crush an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned.
Dinosaur King,TV Show,Japan,2008,G,2 Seasons,Anime,Aided by tablets found near a downed meteorite Max Rex and Zoe race the evil Alpha Gang as they travel the globe in search of living dinosaurs.
Edge of the Universe,TV Show,United Kingdom,2008,G,1 Season,British TV Shows,Leading astronomers reveal the latest discoveries about death-trap planets asteroids comets and other wonders of the cosmos.
Figaro Pho,Movie,United Kingdom,2008,G,29 min,Children & Family Movies,Quirky little Figaro has a whole alphabet's worth of phobias. These wordless animated shorts follow his many fears from A to Z.
Garfield's Fun Fest,Movie,United States,2008,G,79 min,Children & Family Movies,Garfield has long been the champ at a yearly competition for the funniest comic strip. But this time Garfield must battle tall handsome Ramone.
ICarly,TV Show,United States,2008,G,2 Seasons,Kids' TV,A cyberstar is born when 13-year-old Carly creates an Internet series with a little help from her best friend Sam and neighbor Freddie.
Japanese Style Originator,TV Show,Japan,2008,G,1 Season,International TV Shows,Find out everything there is to know about Japanese tradition from food to culture to objects and arts and the people who are continuing it today.
Pocoyo & The Space Circus,Movie,Spain,2008,G,25 min,Movies,Acrobatic aliens arrive on spaceships and perform for everyone but when angry aliens arrive as well Pocoyo and his friends must now put on a show.
Power Rangers Jungle Fury,TV Show,United States,2008,G,1 Season,Kids' TV,The Power Rangers travel to California in search of their new master and find him running a pizza parlor – so they join the staff to be trained.
Sid the Science Kid,TV Show,United States,2008,G,1 Season,Kids' TV,Armed with a healthy sense of humor and the help of his teacher friends and family curious kid Sid tackles questions youngsters have about science.
